Time (seconds),light,sound,temp,movement
197.04,,7,,
197.15,,,22,
197.25,,,,1121
197.37,0,,,
197.53,,18,,
197.63,,,22,
197.73,,,,1069
197.85,0,,,
198.01,,3,,
198.11,,,22,
198.21,,,,1069
198.33,0,,,
198.50,,3,,
198.60,,,22,
198.70,,,,1047
198.82,0,,,
198.98,,11,,
199.08,,,22,
199.18,,,,1090
199.30,0,,,
199.46,,18,,
199.56,,,22,
199.66,,,,1070
199.78,0,,,
199.95,,7,,
200.05,,,22,
200.15,,,,1066
200.27,0,,,
200.43,,15,,
200.53,,,22,
200.63,,,,1065
200.75,0,,,
200.91,,18,,
201.02,,,22,
201.12,,,,1075
201.24,0,,,
201.40,,7,,
201.50,,,22,
201.60,,,,1078
201.72,0,,,
201.88,,7,,
201.98,,,22,
202.08,,,,1062
202.20,0,,,
202.37,,0,,
202.47,,,22,
202.57,,,,1064
202.69,0,,,
202.85,,41,,
202.95,,,22,
203.05,,,,1055
203.17,0,,,
203.33,,33,,
203.44,,,22,
203.54,,,,1073
203.66,0,,,
203.82,,18,,
203.92,,,22,
204.02,,,,1064
204.14,0,,,
204.30,,0,,
204.40,,,22,
204.50,,,,1075
204.62,0,,,
204.79,,3,,
204.89,,,22,
204.99,,,,1059
205.11,0,,,
205.27,,26,,
205.37,,,22,
